sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1.0,0.51,,0.13,,0.281,,0.162,0
1.0,0.425,0.34,,,,0.0905,0.088,0
,,0.385,,0.6415,,0.152,,1
,,0.375,,,,0.156,0.255,1
1.0,,,0.145,1.25,,0.283,,1
2.0,,0.455,,,,0.259,,1
2.0,0.63,0.48,0.185,1.21,,0.2555,0.322,1
,,0.425,0.19,,,0.1725,,1
,0.705,0.55,,1.7095,0.633,0.4115,,1
1.0,,0.185,0.06,0.0925,,,,0
,0.535,,0.135,0.771,0.3765,0.1815,0.1795,0
2.0,0.345,0.27,,,0.0665,0.05,,1
,0.47,0.36,,,,0.1375,,1
,0.605,0.475,,,,,0.275,1
,0.275,0.215,,,,,0.035,0
,0.445,,0.115,0.3615,,,,0
2.0,0.63,0.49,,1.1955,0.5845,,,1
,0.655,,,,0.5835,0.3515,,1
,,,0.165,,,,,1
1.0,,,0.145,,0.267,,0.22,1
0.0,0.61,0.48,,1.2955,,0.3225,0.365,1
0.0,0.72,0.575,,,,,,1
,0.49,0.42,0.125,,,0.1435,0.22,1
2.0,,,,,0.244,0.1335,,1
1.0,,0.265,,0.1845,,0.0365,0.055,0
,0.475,0.38,,,,,,0
2.0,0.65,,0.16,1.7395,,,,1
0.0,,0.36,,0.472,,0.114,0.15,1
2.0,,0.36,,,,,,1
,,,,1.2265,,0.377,,1
,0.6,,0.15,0.9625,,,,1
,0.65,,,,,0.2705,,1
,,,0.165,,0.2855,0.1975,,1
2.0,,,,,,0.0635,0.0905,0
1.0,,0.365,0.115,,0.223,,0.1335,1
0.0,,0.495,0.19,,0.469,,0.41,1
2.0,0.575,,,,0.4355,,,1
,0.42,,0.115,0.355,0.1895,,,0
1.0,0.225,0.16,,0.0465,,,0.015,0
,,0.46,0.14,,,0.153,,1
2.0,0.69,,,1.777,,0.38,0.4305,1
0.0,0.78,0.63,,,1.488,,0.586,1
,,,0.085,,,0.061,0.08,0
1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,0
,,0.505,0.165,,0.5985,,0.36,1
,0.625,,,1.411,,,0.395,1
,0.565,,,0.667,,,0.185,0
0.0,0.52,0.405,0.14,0.8175,0.2795,,0.26,1
,0.61,,0.14,,0.4375,,0.27,0
2.0,,,0.155,,0.487,0.212,0.3215,1
1.0,0.45,0.35,,,,,0.14,0
,0.625,0.5,,,,0.22,,1
,,,0.155,,,,,1
0.0,,0.46,0.16,,0.4005,0.2025,,1
2.0,0.545,,,0.7505,0.2475,0.13,0.255,1
2.0,0.59,0.48,0.16,,0.5685,0.2725,,1
2.0,,,,0.526,0.2485,,0.1555,0
,0.51,,0.135,,0.3435,,,1
2.0,,0.515,,1.6385,0.831,,0.371,1
,0.435,,0.105,0.3535,0.156,0.05,0.1135,0
,0.52,0.41,0.145,,0.2965,,,1
2.0,,,0.15,,,,,1
0.0,0.565,0.44,,,,0.149,,1
,0.705,0.56,0.165,,,,,1
2.0,0.415,,,,0.1535,0.1015,,1
,0.405,,0.09,0.312,,0.06,,0
,,0.47,0.15,1.1625,,0.258,0.3085,1
,,0.465,0.15,,,,,1
2.0,0.66,0.52,,,,,,1
,,0.45,,,,,0.315,1
2.0,0.505,,0.15,,0.3445,0.157,,0
,0.61,0.46,,1.1185,0.478,0.2945,,1
,0.42,,,,,,,1
,0.575,0.45,0.135,0.8715,0.45,,,1
,,0.465,0.17,,0.3865,,,1
2.0,,,,,,,,1
1.0,0.36,,,0.199,,0.045,,1
2.0,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,0
0.0,0.515,,0.12,0.646,,,0.177,1
,,,0.17,,0.5255,,,1
2.0,,,,,,0.1865,,1
0.0,0.45,0.365,,,,0.121,,0
2.0,,,0.16,1.093,,0.221,0.315,1
,,,,,,,,1
,0.54,,0.145,,0.2635,0.168,0.245,1
,0.485,0.37,0.13,0.458,,0.113,0.136,1
,0.44,,0.12,,0.1655,,,0
,0.615,0.475,0.17,,0.4695,0.2355,,1
,,,0.1,0.2505,0.106,0.0535,,0
,0.52,,,,,0.1405,0.171,0
,0.5,0.385,,0.6785,,0.138,,1
0.0,,0.48,,1.1615,,0.301,,1
,,0.34,,0.4495,0.165,0.1125,0.144,1
,0.62,0.475,0.16,,0.6865,,0.3275,1
0.0,0.62,,,,0.596,0.3135,,1
,0.41,0.335,,,0.1405,,0.105,0
2.0,,0.575,,2.069,,0.409,,1
1.0,0.355,0.265,,,0.122,,,0
,0.365,0.255,,0.1985,,,0.053,0
2.0,,0.455,,,,,,1
0.0,,,,,0.4095,,0.276,0
0.0,0.41,0.325,,,0.159,,0.12,1
0.0,,,0.145,,0.4215,0.1685,,0
2.0,0.505,0.405,,,,0.16,0.175,1
,,,,0.6015,,0.1455,0.135,0
2.0,0.545,,0.155,0.8035,,,0.228,0
,0.635,0.525,,1.3695,0.634,,0.363,1
2.0,,,0.14,,0.244,,0.255,1
2.0,0.62,0.475,,,,,,1
1.0,,0.125,,0.0265,,0.0055,0.0085,0
2.0,0.56,0.44,,0.971,,,0.265,1
2.0,,0.51,,1.4865,0.6445,0.296,0.425,1
1.0,0.47,,0.12,0.4705,0.1845,0.1055,0.155,1
0.0,0.71,,,1.47,,0.38,0.431,1
1.0,0.375,0.29,,0.213,0.096,,0.061,0
,,0.51,,0.986,0.405,0.2255,,1
1.0,,,0.1,,0.2285,0.1065,,0
0.0,0.59,,0.175,,0.391,,,1
,0.635,,,1.4065,,,0.3745,1
,0.395,,,0.319,0.138,0.08,,0
2.0,0.53,0.415,,,0.275,,0.265,1
,0.43,,0.115,0.3045,0.0925,0.055,,1
0.0,,,0.195,1.7345,0.6845,,,1
,,0.375,0.11,,0.2015,0.09,0.149,0
,,,0.1,,0.1125,0.0615,,0
,0.375,,,,0.092,,0.09,0
,0.575,,0.135,,,,,1
,,0.54,,,0.739,0.2925,0.365,1
2.0,,,0.155,1.262,0.6245,,,1
,,,,0.657,,,,1
1.0,,,0.115,0.3045,,,,0
,,0.5,0.18,,0.5185,,0.3345,1
1.0,,0.36,,0.4355,0.196,,0.125,0
,0.72,0.595,,,,0.423,,1
1.0,0.575,0.45,,,,0.18,,1
0.0,,,,0.9905,,0.2205,0.275,0
,,0.455,0.225,,,0.221,0.365,1
,,,,,,,,1
2.0,,,,1.4245,,,0.378,1
0.0,,,,,,,0.19,1
,,0.475,,1.168,,,,1
0.0,,,,1.473,,,0.4295,1
,,,,0.5525,,0.127,,0
,,,0.19,,0.519,,0.4465,1
2.0,0.695,,0.215,1.9565,,0.541,0.59,1
,,0.16,,,0.0265,,,0
1.0,0.545,,0.13,0.686,0.3285,0.1455,0.18,1
1.0,,0.18,0.065,0.071,,0.013,0.0215,0
,0.56,0.46,,0.8395,,0.157,,1
2.0,,0.535,0.19,,0.7465,,,1
,,,,,,,,1
0.0,0.54,0.42,0.13,,,0.1675,,1
,0.495,0.33,,,,0.095,,0
,0.645,0.53,0.195,,0.6465,,0.3735,1
,,,,0.6995,,0.153,,1
0.0,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,1
,,,,0.4635,,0.093,,0
,0.62,,0.2,1.2255,,,,1
1.0,,0.165,0.055,0.0545,,,,0
,,0.565,,,,0.3355,,1
0.0,,0.565,,,,,0.5385,1
2.0,0.615,,0.205,,,,0.37,1
1.0,,,,,0.2075,0.091,0.15,0
0.0,0.62,0.51,,,,0.274,,1
2.0,,,0.175,,0.7395,0.3505,,1
,,0.38,,,,,0.1565,1
,0.605,,,,,,,1
2.0,,0.42,,0.8695,0.3075,,,1
,0.6,0.46,,,0.4455,0.189,,1
0.0,,0.35,0.1,0.4425,,,,0
,,0.485,0.185,,0.548,0.2485,,1
,0.49,0.38,,,,0.167,0.185,1
,0.71,0.54,0.165,,,0.261,,1
,0.645,,0.155,,0.6145,0.236,0.3185,1
2.0,0.505,,0.12,0.653,0.3315,0.1385,0.167,1
2.0,,0.39,0.135,,,0.1345,,0
,,,,,0.419,0.255,,1
,,,0.19,,0.707,,0.43,1
,,,,1.2355,0.4435,,0.365,1
0.0,,0.505,0.19,1.2765,,,0.4,1
2.0,0.54,,0.18,0.996,0.3835,,0.325,1
2.0,,0.51,0.17,1.1885,,0.3065,0.348,0
,0.485,0.365,,,,0.0925,,0
2.0,0.59,,,,0.4625,,0.275,1
,0.375,,,,,0.043,0.055,0
,0.43,,0.115,,,,0.11,0
,0.525,0.4,0.125,0.5655,0.2435,0.119,,0
,,,0.2,1.8275,0.919,0.366,0.485,1
,,,,0.528,0.2125,,,1
,,0.5,,,,0.2795,0.332,1
,0.33,,0.065,,,,,0
,,,,,0.406,0.1605,0.2245,1
,,0.38,,,,,,0
,0.635,0.505,,1.251,,0.227,,1
0.0,0.58,,,,0.3945,,,1
