sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
2.0,0.42,0.34,,,,,0.144,1
0.0,0.585,,0.175,0.982,,0.2495,0.27,1
,0.62,,,,0.5315,,0.2475,0
,,,0.12,,0.251,0.1345,,0
0.0,0.585,0.455,,0.998,,,0.315,1
0.0,,0.3,0.115,0.3025,0.1335,,0.0935,0
,,,,,0.34,,0.244,0
2.0,,0.335,,,0.19,0.085,,0
1.0,0.245,0.19,0.06,0.086,,0.014,,0
0.0,,,0.175,,0.564,0.302,,1
2.0,,0.405,0.175,1.2705,0.548,,0.337,1
,,,0.09,0.253,0.1155,,,0
1.0,,,0.12,0.516,0.197,,,0
1.0,0.445,0.33,,0.347,0.12,0.084,0.105,1
,0.51,0.405,0.12,0.61,,,,1
,,,,0.088,,,0.023,0
,,0.455,,,0.4735,,,1
,0.69,0.56,,1.719,0.68,0.299,,1
2.0,,,,0.5545,0.213,,,1
2.0,0.635,,0.195,,0.445,,,1
0.0,0.525,,0.135,0.7085,,,0.235,1
0.0,0.725,,0.175,2.124,0.765,0.4515,,1
,0.76,,0.19,,0.7035,,,1
0.0,,,0.115,0.4785,0.1995,,0.129,0
1.0,,,,0.599,0.2595,0.149,0.169,1
1.0,,,0.115,,,0.098,0.143,0
1.0,,0.215,0.06,,0.053,,,0
,0.715,0.55,0.19,,1.0465,,,1
,0.45,,0.115,0.4385,0.184,,0.1125,1
,0.475,,0.105,,0.201,,,0
,0.565,0.4,0.13,0.6975,,0.1665,,0
,0.515,,0.12,,0.3265,,,0
2.0,0.63,0.5,,1.2645,0.5635,0.3065,0.3425,1
1.0,0.455,0.355,,0.452,,,,1
,,0.265,,0.196,0.085,0.042,,0
,,,,0.1245,0.0505,,0.038,0
0.0,0.645,,,1.2415,0.5815,0.276,0.315,1
,0.64,0.505,0.19,1.2355,0.4435,,0.365,1
0.0,,0.515,0.215,1.498,0.564,0.323,,1
1.0,0.32,0.215,,0.305,0.14,0.067,,0
1.0,0.41,0.305,0.1,,0.1,,,0
0.0,0.51,0.4,0.12,,,0.1105,0.195,1
2.0,0.505,0.4,,0.77,0.2735,0.159,,1
,0.585,,0.17,0.9945,0.4255,,0.2845,1
1.0,0.53,0.42,0.13,,0.3745,0.167,,1
,0.615,,,,0.545,0.3315,,1
2.0,,,,1.307,,0.292,,1
0.0,,,,1.2235,,0.2695,0.36,1
,0.6,0.47,,1.059,0.504,,0.275,1
1.0,0.295,,,0.126,0.0515,0.0275,,0
,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,1
2.0,0.54,,,,0.392,0.1455,0.2235,1
,,0.495,0.155,1.0805,0.52,,,1
2.0,0.415,0.315,0.125,0.388,0.068,0.09,0.125,1
2.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,1
,0.565,,,0.743,0.31,,0.231,1
0.0,,,,,,0.1455,,1
,0.52,0.425,0.125,0.79,0.372,,,0
1.0,0.32,,0.085,0.1745,,0.033,0.057,0
1.0,0.575,,,,,0.1715,,1
1.0,,0.31,0.095,0.3425,,,,0
,0.545,0.425,,,,0.231,,1
,0.47,0.37,,,,0.133,,0
0.0,0.655,0.54,0.175,,,,0.385,1
,,0.25,,0.185,0.0795,,0.055,0
1.0,,0.3,0.115,,,,0.0935,0
,0.68,0.515,,,0.8415,0.306,,1
0.0,,0.485,,,,,0.3605,1
,0.555,,0.16,0.86,0.3345,,0.275,1
,,0.4,0.12,,0.261,,0.1935,0
2.0,,,,1.0985,,0.215,,1
,0.6,0.475,0.155,1.059,0.441,0.19,,1
1.0,,,0.12,,0.2965,0.0945,0.1185,0
,0.515,0.41,,0.7355,0.3065,0.137,0.2,0
0.0,0.675,,0.195,,0.7645,,0.553,1
,,0.365,0.105,0.4175,0.1645,,0.127,0
,,,,,0.4525,0.238,,1
1.0,,0.39,,0.664,,,0.178,1
,,0.495,,1.093,0.497,0.221,,1
0.0,,,0.185,,0.741,0.2955,,1
0.0,0.465,0.35,,,,0.102,,0
2.0,0.615,,,,,0.3115,0.371,1
,,0.295,0.08,,,0.043,,0
1.0,0.575,,0.145,,0.4675,0.18,0.217,1
0.0,0.535,,0.125,,,0.199,0.24,0
1.0,0.49,0.385,,0.591,,,,1
1.0,0.415,0.31,0.11,0.2965,0.123,,0.0995,1
,0.445,0.325,0.1,,0.1795,0.1,,0
1.0,0.44,0.355,0.12,,,0.11,,0
,0.325,,0.075,,0.0825,0.0445,0.05,0
1.0,,0.29,0.09,0.2745,,0.0455,0.078,0
2.0,0.605,,0.14,1.1175,,0.257,0.274,1
1.0,0.495,,0.12,0.614,,0.1365,,0
,0.615,0.465,0.15,0.923,,0.1825,0.2415,1
1.0,,,0.1,,,,0.1255,0
0.0,0.65,0.5,0.16,1.3825,,0.304,,1
1.0,0.585,0.42,0.145,0.6735,0.2895,,,1
2.0,,,,0.4835,0.1815,,0.16,1
2.0,,0.465,,1.136,,0.2615,0.275,1
2.0,,,,,0.691,0.322,,1
0.0,0.64,0.5,0.17,1.2645,,,,1
,0.435,,0.1,,,0.07,0.11,0
,,0.515,,1.2415,0.5235,,,1
,0.55,0.45,,0.81,0.317,0.157,,1
