sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1,0.51,-0.19782000842806383,0.13,0.6025,0.281,-0.012199675012233846,-0.4781985671793938,0
1,0.425,0.34,-0.0330721498022165,0.389,-0.6428640868016715,0.0905,-0.08689319602025519,0
2,-0.0754175597676646,0.385,0.15,-0.028998422822457792,0.246,0.704893433514895,0.215,1
1,0.9980436888515183,0.375,-0.08387074010210463,-0.13821702713750827,-0.5317632903696976,0.156,-0.24767189604551687,1
1,0.02453071425065334,0.515,0.25362972344151474,1.25,1.4588346991411552,0.283,0.315,1
2,0.58,0.710633452866365,0.17,0.93,1.4438324045455864,0.259,0.22,1
-1,0.9035205870490248,0.01470371485473887,0.185,3.609539472895568,0.53,0.2555,0.322,1
2,0.525,0.425,0.19,0.872,0.4625,0.1725,0.7194773431465692,1
0,0.028119765854627776,0.55,0.2,3.952041866400017,-0.6238337967016321,0.4115,0.7495285982625005,1
1,0.255,0.9592943747234031,0.06,0.0925,0.039,-0.31362567065268,0.025,0
0,0.535,0.425,0.135,0.771,2.242944113112583,0.1815,-0.31203671053629267,0
2,0.345,0.27,-0.15852400039671635,0.197,-0.09902193029427098,0.05,0.07,1
0,0.8533609421572471,0.36,0.145,0.537,0.1725,-0.18402757667156222,0.195,1
-1,0.605,-0.008349650383761897,-0.10245821433292229,1.161,0.572,0.2455,0.275,1
1,0.275,0.7272638841618617,0.075,0.1155,1.218105066700864,0.029,0.7608849892116931,0
2,0.08582927881449079,-0.07197437614198854,0.115,-1.2602686607968103,0.1565,-0.3411442449184161,0.8798289088967846,0
2,0.63,0.7584550091858855,0.15,4.667914142255691,0.5845,0.257,0.3,1
0,0.9120255834355098,0.7550993622623955,0.165,1.367,0.5835,0.3515,0.396,1
0,0.7711232027798082,0.455,0.165,0.998,-0.8503772752908008,0.8783445534691883,0.315,1
2,0.52,0.4,0.145,0.66,1.5856742771157117,0.1055,0.22,1
0,0.61,0.07653305742368988,0.19,1.2955,0.5215,0.3225,-0.35399147547968557,1
0,0.72,0.575,-0.004892481454450745,1.6705,1.8897562502249765,-0.08038435113936052,0.501,1
