0,1,2,3,4,5,6,7,class
1.0,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,0
1.0,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,0
2.0,0.505,-0.086167714742458,0.15,0.6415,0.246,0.152,0.215,1
1.0,0.51,0.375,0.15,0.8415,0.3845,-0.2169284557301231,0.255,1
1.0,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,1
2.0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,1
2.0,0.8836069944831968,0.48,0.185,1.21,0.53,0.2555,0.322,1
0.0,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,1
0.0,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,0
3.0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,1
-1.0,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,1
1.0,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,0
2.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,0
2.0,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,1
0.0,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,1
0.0,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,1
1.0,0.52,0.4,0.145,-0.1542151649353786,0.267,0.1055,0.22,1
0.0,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,1
2.0,0.49,0.42,0.125,0.609,0.239,0.1435,0.9895404865552044,1
2.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,1
1.0,0.36,0.265,0.2618507425552709,0.1845,0.083,0.0365,0.055,0
1.0,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,0
2.0,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,1
0.0,0.47,0.36,0.13,0.472,0.182,0.5323859425666255,0.15,1
2.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,1
0.0,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,1
0.0,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,1
2.0,0.65,0.6187042878923446,0.175,1.446,0.6485,0.2705,0.45,1
0.0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,1
3.0,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,0
1.0,0.475,0.8465446457807252,0.115,0.49,0.223,0.1235,0.1335,1
0.0,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,1
1.0,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,0
1.0,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,0
1.0,0.585,0.46,0.14,0.7635,0.326,-0.143054875506084,0.265,1
2.0,0.69,0.55,0.195,1.777,0.769,0.38,0.7601279613784685,1
1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,0
0.0,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,1
1.0,0.625,0.43,0.175,1.411,0.572,0.297,0.395,1
2.0,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,0
0.0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,1
2.0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,0
2.0,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,1
1.0,0.45,-0.0807242515821707,0.11,0.514,0.253,0.1045,0.14,0
2.0,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,1
0.0,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,1
0.0,0.595,0.46,0.16,0.921,0.4005,0.7229382199760732,0.2875,1
2.0,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,1
2.0,0.485,-0.0878565153452066,0.13,0.526,0.2485,0.105,0.1555,0
2.0,0.51,0.1064672203828722,0.135,0.681,0.3435,0.142,0.17,1
2.0,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,1
1.0,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,1
2.0,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,1
0.0,0.565,0.44,0.15,0.863,0.435,0.149,0.27,1
0.0,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,1
2.0,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,1
1.0,0.405,0.31,0.09,0.312,0.138,0.06,0.087,0
2.0,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,1
1.0,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,1
2.0,0.66,0.52,0.19,1.558,0.755,0.298,0.4,1
2.0,0.585,0.7603308225247902,0.15,1.047,0.4315,0.276,0.315,1
2.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,0
0.0,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,1
0.0,0.42,0.33,0.125,0.463,0.186,0.11,0.145,1
1.0,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,1
0.0,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,1
2.0,0.555,0.425,0.13,-0.7881578768216793,0.264,0.168,0.275,1
1.0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,1
2.0,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,0
0.0,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,1
2.0,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,1
2.0,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,1
0.0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,0
2.0,0.63,0.495,0.16,1.093,0.497,0.221,0.315,1
2.0,0.65,0.515,0.175,1.4805,0.5295,-0.1957318401332952,0.525,1
2.0,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,1
1.0,0.485,0.37,0.13,0.458,0.181,0.113,0.136,1
1.0,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,0
0.0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,1
2.0,0.38,0.3,0.0051432922820924,0.2505,0.106,0.0535,0.0775,0
1.0,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,0
0.0,0.5,0.385,0.115,3.660713855069923,0.2945,0.138,0.195,1
