0,1,2,3,4,5,6,7,8,9,class
2.0,4.0,9.0,2.0,6.814380044020543,0.0,4.0,1.0,45.0,39.0,1
4.0,5.0,10.278305332359386,2.0,4.0,0.0,1.0,1.0,40.0,3.0,1
2.0,4.0,9.0,2.0,12.0,5.0,4.0,0.0,16.0,39.0,1
1.0,2.0,11.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,0
2.0,7.0,12.0,2.0,10.0,5.0,4.0,0.0,18.0,39.0,1
4.0,7.0,10.0,2.0,10.0,0.0,4.0,1.0,40.0,39.0,1
1.0,4.0,15.0,2.0,14.0,0.0,4.0,1.0,55.0,39.0,1
1.0,2.0,11.0,2.0,3.0,3.0,2.0,1.0,40.0,39.0,0
1.0,4.0,11.0,4.0,12.0,1.0,4.0,0.0,40.0,39.0,0
2.0,4.0,9.0,2.0,4.0,0.0,4.0,1.0,50.0,39.0,1
2.0,4.0,11.0,2.0,14.0,0.0,4.0,1.0,41.79545454545455,39.0,1
2.0,4.0,12.0,2.0,4.0,0.0,4.0,1.0,45.0,39.0,1
1.0,4.0,11.0,4.0,8.0,1.0,4.0,0.0,30.0,35.423529411764704,0
2.0,4.0,12.0,2.0,13.0,0.0,4.0,1.0,60.0,39.0,1
2.0,4.0,15.0,0.0,1.0,4.0,4.0,0.0,40.0,39.0,0
3.0,4.0,6.0,4.0,8.0,1.0,4.0,1.0,50.0,39.0,0
2.0,3.976505139500734,9.0,2.0,10.0,0.0,4.0,1.0,50.0,39.0,1
2.0,4.0,7.0,0.0,7.0,1.2628865979381445,0.0,0.0,40.0,39.0,0
2.0,2.0,15.0,2.0,4.0,0.0,4.0,1.0,40.0,39.0,0
2.0,4.0,10.278305332359386,2.0,10.0,0.0,4.0,1.0,40.0,39.0,1
2.0,1.0,9.0,2.0,1.0,0.0,4.0,1.0,35.0,35.423529411764704,1
2.0,7.0,15.0,2.425966447848286,13.0,1.0,4.0,0.0,40.0,39.0,0
4.0,6.0,5.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,0
0.0,4.0,11.0,4.0,5.0,3.0,4.0,1.0,40.0,39.0,0
4.0,4.0,11.0,2.0,11.0,0.0,2.0,1.0,40.0,39.0,1
2.0,4.0,15.0,2.425966447848286,1.0,1.0,4.0,0.0,40.0,39.0,0
2.154700222057735,4.0,12.0,2.0,4.0,0.0,4.0,1.0,50.0,39.0,1
4.0,4.0,11.0,2.0,10.0,0.0,4.0,1.0,50.0,39.0,0
2.0,4.0,15.0,2.0,13.0,0.0,4.0,0.7132352941176471,40.0,39.0,1
2.0,4.0,10.278305332359386,2.0,12.0,0.0,4.0,1.0,55.0,39.0,1
