Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
2,-2,9,0,4,1,4,1,50,50,0
2,4,5,2,5,-2,4,1,40,39,0
-2,4,8,2,7,0,4,1,40,-12,1
1,4,11,6,1,3,4,0,40,39,0
0,4,4,4,17,2,4,1,92,16,0
2,6,8,2,5,6,4,0,-3,39,1
2,4,11,5,-3,0,5,0,45,23,0
2,4,11,7,3,6,4,0,40,39,1
2,4,14,2,10,0,-2,0,48,-24,1
2,4,8,-1,22,0,4,0,40,39,0
2,4,11,6,1,4,4,0,40,39,0
-2,5,9,8,4,-4,6,0,50,-12,1
4,4,-2,2,1,5,2,0,38,39,1
2,5,11,2,-1,0,4,1,43,39,1
1,4,9,9,1,1,4,0,3,39,0
4,0,3,2,0,0,5,1,40,39,0
4,4,15,2,13,0,4,1,40,39,1
2,-3,9,2,11,5,2,1,40,39,1
0,4,15,4,17,3,4,0,-46,39,0
2,9,15,0,3,0,4,1,45,40,1
4,1,-3,2,1,5,4,0,-16,66,1
-2,4,-5,-2,4,0,4,1,50,39,1
4,9,15,4,1,1,2,0,45,0,0
0,4,4,0,18,1,4,1,40,26,0
1,0,15,2,19,0,4,1,5,-10,0
2,-1,9,2,4,-2,4,1,48,39,1
0,4,-5,2,10,0,4,1,1,39,0
4,4,-7,0,14,5,4,1,40,-28,0
4,4,15,3,1,1,4,0,16,39,1
4,2,9,6,-4,-1,4,0,40,55,1
2,1,8,-1,3,0,1,1,40,39,1
0,4,0,4,9,3,2,1,100,39,0
2,0,9,-4,13,1,6,0,40,53,0
2,4,11,2,3,0,0,1,25,39,0
1,-4,15,2,3,0,4,1,132,39,0
2,4,25,-2,3,0,0,1,-1,39,1
0,4,15,4,26,7,1,1,50,44,0
2,-3,9,8,4,1,4,1,-16,39,0
5,11,15,0,23,4,2,1,94,39,0
1,2,12,4,10,1,4,1,40,-4,1
2,7,10,2,10,7,1,1,40,39,1
2,-2,11,0,-2,3,-2,0,129,39,0
1,-2,15,-2,11,0,4,1,46,-20,1
0,6,11,9,3,0,4,1,-25,39,1
2,4,9,4,-11,4,4,0,32,39,0
4,4,-8,6,-7,1,4,0,117,39,0
2,4,9,2,10,0,2,0,35,14,1
2,4,4,2,7,9,1,0,40,40,1
4,9,12,2,4,0,4,1,50,39,1
2,4,9,2,15,-2,4,1,50,39,1
2,4,12,-3,14,0,4,1,102,39,1
2,4,15,2,1,0,7,1,113,39,1
2,4,11,-2,4,9,4,0,60,39,1
5,7,-10,0,4,5,2,1,-12,39,0
0,4,12,4,10,1,4,0,40,58,1
2,4,11,0,-9,1,4,1,50,39,0
0,4,15,4,8,9,4,0,110,33,0
2,4,12,2,10,0,4,1,60,-3,1
2,4,-6,2,-9,0,4,1,1,39,0
1,4,11,2,3,5,4,1,42,39,1
1,4,9,2,4,5,4,0,42,39,1
0,4,11,2,3,9,0,1,40,39,0
2,4,12,2,10,0,4,1,45,39,1
2,4,15,0,1,4,2,0,-57,24,0
2,4,-4,0,1,-3,4,0,40,72,0
2,10,15,2,8,0,2,1,35,39,0
2,4,15,-2,4,0,0,1,40,39,1
4,4,27,6,-5,1,4,0,54,39,0
2,-2,15,2,3,0,0,1,-32,39,1
-1,1,0,4,1,7,4,1,40,39,0
4,4,9,-2,12,0,4,1,-6,39,1
0,4,17,2,3,0,4,1,40,39,0
2,2,14,2,18,0,4,1,40,-5,1
2,2,12,7,-3,1,4,0,35,39,0
4,4,15,-2,6,0,4,1,24,5,1
4,4,11,9,10,0,-1,1,-31,39,0
4,7,15,-1,10,7,4,0,24,39,0
4,10,14,2,14,0,4,1,40,39,1
4,4,9,2,4,5,4,0,40,9,1
2,8,0,2,3,0,4,1,40,39,0
0,4,6,2,7,0,4,0,113,-15,0
1,-4,18,4,12,1,-1,0,93,64,0
2,2,-6,0,11,0,4,1,99,39,0
2,4,11,-1,8,4,4,0,35,39,0
1,7,15,7,-7,3,4,0,40,43,0
-2,1,9,2,1,0,6,1,35,39,1
6,0,15,2,0,0,4,0,95,39,1
4,-2,11,0,20,0,6,1,30,39,0
2,6,12,2,4,0,4,1,99,57,1
2,4,-5,-2,4,0,5,0,-6,39,1
0,7,15,2,4,0,4,0,35,39,1
2,6,11,2,22,-1,4,0,35,20,0
5,4,11,4,12,1,4,1,-19,39,0
4,4,1,8,3,0,4,1,40,39,0
2,2,9,2,10,0,5,1,45,40,1
1,4,15,4,18,1,4,1,40,39,1
2,5,9,2,-4,0,5,1,70,39,1
2,7,15,-1,10,4,4,0,-1,39,0
2,4,1,2,-2,0,4,1,60,39,0
2,8,9,-5,15,0,4,1,-22,63,1
4,1,11,6,13,0,4,1,131,-15,1
0,4,-4,-3,14,0,4,1,80,39,1
2,4,11,2,6,0,4,1,40,39,1
2,6,11,3,3,1,1,1,40,-9,0
2,7,8,2,4,0,4,1,40,39,0
2,4,11,-2,14,0,4,1,40,39,1
1,6,11,4,3,6,6,1,50,39,1
4,6,-5,0,13,1,4,1,-5,40,0
2,6,9,2,13,0,4,1,40,39,1
4,9,24,7,10,0,4,1,50,39,1
4,4,10,2,10,6,5,1,-15,39,1
2,4,11,0,12,1,4,1,60,39,1
2,4,11,-2,3,0,4,1,-14,67,1
2,6,10,0,10,4,4,1,63,2,1
2,4,23,0,5,1,5,1,70,39,0
2,-1,11,2,4,0,4,1,-4,39,1
4,7,10,3,10,1,6,1,70,39,1
4,6,9,-3,12,0,-1,1,40,39,1
-2,4,11,9,-5,0,6,1,40,39,0
2,2,12,2,10,0,4,1,40,39,1
2,9,11,-2,4,0,4,1,116,39,1
0,9,11,-4,6,3,4,1,40,39,0
1,-2,17,2,8,7,4,1,40,39,0
2,-3,9,8,-3,0,4,1,35,39,1
1,7,17,4,4,1,4,0,40,39,0
4,7,10,2,10,0,4,1,50,39,1
1,-2,9,2,10,5,4,0,-22,39,1
4,9,5,-1,3,8,4,0,113,-24,0
1,4,11,4,3,3,4,1,40,39,0
-1,4,-3,4,10,1,6,1,60,0,0
1,4,11,4,7,7,4,1,40,39,0
2,4,15,2,22,-1,6,1,110,39,1
4,10,15,6,-5,4,4,0,38,39,1
2,-1,12,0,-7,0,4,0,40,39,1
2,2,12,4,22,1,4,0,45,50,1
-2,-1,12,2,4,5,4,0,50,39,1
2,4,28,2,4,9,-3,1,50,39,1
2,4,-7,2,10,0,4,1,38,39,1
0,4,9,9,4,0,4,0,103,-20,1
0,4,15,-3,12,2,4,1,40,31,0
6,-2,9,-1,4,1,4,1,18,39,1
2,4,15,2,12,0,4,1,48,39,1
-2,4,15,4,8,1,4,1,40,39,0
6,7,8,2,13,0,4,0,136,39,1
2,4,15,-4,3,0,4,1,50,39,1
1,10,21,6,8,2,4,1,30,39,0
1,4,11,-4,7,1,4,1,40,39,0
2,-2,11,2,7,0,4,1,44,-12,1
1,4,9,4,22,1,-2,1,99,52,0
2,4,12,2,4,0,1,1,119,24,1
-1,4,11,0,8,6,4,0,40,39,0
4,5,9,2,4,0,-1,1,50,39,1
1,0,8,2,10,3,-1,1,16,39,1
-1,6,22,9,5,0,-1,1,60,-25,1
2,2,-3,2,-5,0,4,1,107,39,0
2,6,7,4,12,-2,5,1,50,42,0
2,5,9,2,12,0,0,1,60,-11,1
2,5,11,-1,14,8,4,1,55,45,1
2,4,-9,0,0,1,4,0,40,39,0
1,0,11,2,0,0,2,1,40,-8,0
2,11,11,2,15,0,0,0,55,39,1
6,4,23,-2,4,0,4,1,50,39,1
2,4,11,2,8,0,-1,1,40,39,0
2,10,15,0,19,0,1,1,40,39,1
2,7,9,2,4,0,4,1,88,39,1
-1,-4,15,4,8,3,4,0,16,39,0
6,4,9,4,-4,1,-1,1,-32,49,0
1,8,11,-4,0,1,-1,1,40,-8,0
2,6,11,2,5,0,5,0,50,39,1
1,4,15,4,0,3,4,0,40,20,0
-1,6,15,0,5,1,4,1,40,39,0
1,9,18,3,22,3,-1,0,3,39,0
1,8,6,4,3,1,4,1,15,69,0
0,4,2,10,12,3,4,0,35,39,0
2,-2,11,7,15,1,4,1,60,69,1
2,11,9,-1,1,0,2,1,-8,53,1
2,4,15,0,8,7,4,0,52,39,1
0,4,15,4,12,3,4,1,25,39,0
1,12,11,4,3,-1,4,1,75,39,0
2,4,11,2,14,8,4,1,127,39,0
2,6,12,2,12,0,4,1,45,39,1
4,4,15,2,10,7,4,1,50,39,1
2,4,15,7,13,0,4,0,40,39,1
2,8,-2,2,3,0,4,0,44,39,1
0,4,11,8,8,5,5,0,123,39,0
2,2,7,-2,11,-3,-1,1,40,39,1
2,8,20,6,4,0,4,1,139,39,1
1,4,19,4,1,-2,-2,0,104,-35,0
4,6,5,2,20,0,4,1,99,39,0
2,4,-7,2,22,0,2,1,40,39,1
-1,7,-3,2,12,0,4,1,45,39,1
