0,1,2,3,4,5,6,7,8,9,class
0.0,5.0,19.0,4.0,20.0,-4.0,7.0,0.0,50.0,39.0,0
2.0,4.0,8.0,11.0,7.0,0.0,0.0,1.0,40.0,59.0,1
-1.0,4.0,-2.0,6.0,17.0,0.0,-2.0,0.0,0.0,62.0,0
4.0,12.0,15.0,9.0,6.0,2.0,-1.0,1.0,119.0,-6.0,0
2.0,6.0,20.0,7.0,-6.0,0.0,4.0,1.0,-13.0,39.0,1
2.0,-4.0,11.0,-6.0,8.0,1.0,-1.0,1.0,45.0,23.0,0
-1.0,4.0,11.0,-2.0,3.0,-8.0,-3.0,1.0,40.0,39.0,1
2.0,4.0,8.0,-2.0,3.0,-2.0,4.0,0.0,149.0,39.0,0
-4.0,4.0,11.0,7.0,1.0,5.0,4.0,0.0,-25.0,84.0,0
2.0,-2.0,19.0,-3.0,4.0,-1.0,4.0,0.0,-4.0,56.0,1
0.0,10.0,11.0,2.0,-10.0,6.0,2.0,1.0,-95.0,41.0,1
-2.0,-3.0,11.0,10.0,22.0,-3.0,4.0,1.0,-12.0,-19.0,1
4.0,-3.0,-9.0,-2.0,0.0,8.0,4.0,1.0,169.0,-7.0,0
7.0,0.0,3.0,6.0,-2.0,6.0,2.0,1.0,170.0,66.0,0
4.0,0.0,17.0,2.0,-10.0,0.0,5.0,1.0,132.0,59.0,1
2.0,14.0,28.0,2.0,11.0,6.0,2.0,1.0,-69.0,-5.0,1
4.0,4.0,-18.0,-3.0,20.0,7.0,0.0,1.0,-27.0,104.0,0
2.0,7.0,-4.0,9.0,-10.0,-6.0,4.0,0.0,3.0,39.0,1
-2.0,12.0,15.0,-2.0,-6.0,-6.0,5.0,0.0,111.0,39.0,1
4.0,0.0,15.0,10.0,-3.0,1.0,6.0,1.0,45.0,-32.0,0
5.0,-4.0,4.0,-6.0,3.0,-4.0,7.0,1.0,40.0,26.0,0
-3.0,0.0,-2.0,11.0,0.0,0.0,4.0,0.0,2.0,39.0,0
-1.0,-3.0,0.0,-3.0,4.0,8.0,-1.0,1.0,-34.0,-7.0,1
4.0,4.0,-9.0,8.0,10.0,-2.0,4.0,0.0,40.0,39.0,0
5.0,4.0,-11.0,2.0,-4.0,0.0,0.0,1.0,40.0,-24.0,0
6.0,4.0,15.0,-1.0,1.0,1.0,4.0,1.0,88.0,48.0,1
7.0,2.0,9.0,6.0,10.0,1.0,0.0,1.0,40.0,41.0,1
-1.0,-4.0,8.0,12.0,27.0,0.0,5.0,1.0,40.0,39.0,1
0.0,4.0,-2.0,4.0,-10.0,3.0,-1.0,0.0,18.0,39.0,0
-1.0,14.0,22.0,-2.0,-17.0,7.0,-2.0,0.0,98.0,39.0,0
2.0,-5.0,11.0,-2.0,3.0,-2.0,4.0,1.0,2.0,39.0,0
1.0,10.0,15.0,8.0,-11.0,0.0,6.0,1.0,56.0,-2.0,0
0.0,-1.0,28.0,7.0,3.0,0.0,5.0,0.0,40.0,0.0,1
7.0,-2.0,20.0,4.0,-8.0,3.0,5.0,1.0,50.0,9.0,0
-1.0,9.0,26.0,6.0,-7.0,1.0,6.0,1.0,-20.0,61.0,0
0.0,-3.0,15.0,-2.0,1.0,-6.0,8.0,0.0,-31.0,60.0,0
5.0,2.0,12.0,4.0,-1.0,1.0,4.0,0.0,156.0,39.0,1
2.0,9.0,26.0,2.0,-11.0,10.0,4.0,1.0,40.0,19.0,1
2.0,4.0,23.0,0.0,-9.0,-4.0,4.0,1.0,113.0,-7.0,0
-1.0,8.0,0.0,2.0,17.0,0.0,4.0,0.0,100.0,-25.0,1
-2.0,7.0,9.0,0.0,24.0,6.0,4.0,0.0,-14.0,99.0,0
4.0,14.0,11.0,6.0,22.0,1.0,-4.0,1.0,-5.0,39.0,0
2.0,4.0,-8.0,2.0,10.0,6.0,2.0,0.0,-46.0,-30.0,1
2.0,12.0,25.0,2.0,7.0,9.0,7.0,0.0,137.0,40.0,1
4.0,4.0,12.0,2.0,4.0,-1.0,6.0,1.0,0.0,39.0,1
2.0,4.0,9.0,2.0,29.0,-6.0,4.0,1.0,113.0,39.0,1
2.0,11.0,15.0,2.0,4.0,0.0,4.0,0.0,70.0,39.0,1
6.0,4.0,19.0,-3.0,-2.0,9.0,4.0,0.0,-17.0,-19.0,1
5.0,4.0,19.0,-1.0,22.0,5.0,8.0,0.0,60.0,54.0,1
4.0,0.0,9.0,0.0,14.0,4.0,2.0,0.0,40.0,39.0,0
-3.0,4.0,17.0,6.0,10.0,5.0,4.0,0.0,40.0,39.0,1
2.0,4.0,41.0,-5.0,3.0,0.0,-3.0,1.0,112.0,39.0,0
0.0,4.0,15.0,8.0,8.0,-1.0,6.0,0.0,-45.0,33.0,0
5.0,4.0,-12.0,11.0,15.0,10.0,5.0,1.0,109.0,39.0,1
2.0,-1.0,15.0,2.0,16.0,12.0,4.0,1.0,40.0,-44.0,0
0.0,9.0,11.0,-4.0,28.0,7.0,7.0,0.0,90.0,39.0,1
-1.0,14.0,9.0,-4.0,4.0,7.0,5.0,0.0,131.0,39.0,1
4.0,4.0,-6.0,-4.0,-17.0,-1.0,0.0,1.0,40.0,-5.0,0
2.0,10.0,23.0,-3.0,10.0,0.0,-1.0,0.0,45.0,-10.0,1
0.0,4.0,-15.0,8.0,1.0,4.0,6.0,0.0,-53.0,24.0,0
8.0,-4.0,-12.0,0.0,-10.0,-3.0,-1.0,0.0,40.0,39.0,0
5.0,9.0,15.0,-5.0,37.0,0.0,4.0,1.0,54.0,40.0,0
-2.0,9.0,15.0,2.0,3.0,0.0,-1.0,1.0,36.0,39.0,1
-1.0,8.0,-2.0,4.0,1.0,1.0,4.0,1.0,40.0,-36.0,0
-2.0,10.0,-4.0,2.0,0.0,0.0,4.0,0.0,102.0,-34.0,1
1.0,4.0,-5.0,2.0,21.0,5.0,4.0,1.0,-15.0,39.0,0
2.0,-3.0,16.0,2.0,-8.0,-5.0,6.0,1.0,40.0,39.0,1
2.0,2.0,-7.0,-2.0,26.0,1.0,0.0,0.0,174.0,39.0,0
5.0,-7.0,21.0,8.0,14.0,7.0,4.0,1.0,24.0,63.0,1
4.0,4.0,24.0,2.0,10.0,-2.0,4.0,0.0,2.0,39.0,0
4.0,4.0,15.0,9.0,-10.0,11.0,4.0,0.0,24.0,39.0,0
4.0,-2.0,14.0,2.0,10.0,0.0,-1.0,1.0,40.0,39.0,1
0.0,4.0,-7.0,2.0,-4.0,0.0,-4.0,1.0,159.0,101.0,0
5.0,7.0,22.0,9.0,0.0,0.0,5.0,0.0,37.0,-33.0,0
1.0,4.0,36.0,4.0,14.0,1.0,-1.0,0.0,133.0,-1.0,0
2.0,7.0,15.0,-6.0,-15.0,0.0,5.0,0.0,-55.0,39.0,0
4.0,10.0,11.0,8.0,-7.0,-5.0,4.0,1.0,35.0,39.0,0
5.0,13.0,19.0,-2.0,4.0,-3.0,-2.0,0.0,133.0,43.0,0
-1.0,1.0,9.0,2.0,1.0,0.0,6.0,0.0,35.0,-10.0,1
