Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
,,,,,0.7626864257692779,,230.7280186820012,,,0.9167992264378568,0.8036191641698104,0.0068668806149055,,0.6458037610209846,,3
40123.0,724.676,,,1.29540171980742,0.6356695258635084,,226.0225436840514,0.7949871210620171,0.9924311756412476,,0.8780913335286217,,,,0.998812228877275,5
48363.0,,297.687338866792,,1.4333940237648626,,48995.0,,0.7240837226015092,,0.9141105606519516,,,,,,6
30673.0,644.6779999999999,232.94867382527173,,1.3872475164024278,0.6930891331915272,31069.0,,0.7334528933524629,,0.9274284596558344,0.8483458589849472,,0.0024264733596872,,,3
,,,,,,,314.1761010421524,0.7907384740922072,,,,0.0049781497745163,0.0013487261493969,0.6627321329428105,0.9941438029403692,0
,,257.1585531828917,,,,41179.0,227.98844526481665,,0.9913791009980816,,,0.0062992003033238,,0.7860021366053414,,5
60340.0,,,,,0.7637634814883754,61109.0,277.1773333613694,0.7876461988304093,0.987415928913908,,,,,,,0
,,,,2.137815978553411,,54996.0,,,,,0.6815763954653403,,,0.4645463828555259,,4
,,245.3724593977744,,1.207507153991345,0.5605029263900956,39532.0,223.1852985058134,0.7907747660339983,0.9896286552666196,,,,0.0026481562173725,,,5
,747.1550000000001,280.18771710820226,,1.5652550960266731,,39731.0,,0.6980957794514708,0.9891520475195692,0.8846693888445502,0.7983663830904356,,,0.6373888816489042,,6
54515.0,,367.2654562066222,,1.913732358482537,,55802.0,263.45901727068934,,0.9769363105265044,,,,,,,4
48606.0,805.1129999999999,,215.5698919120188,1.3331190939626456,,48997.0,248.771142440994,,,,,0.0059124457678347,,,,5
,638.975,240.9320683892541,,1.5365714757668243,,,,,0.9898787453652672,0.9120788965951214,,,0.0021188804280023,0.6499967379345428,0.9987664468517022,3
172941.0,1635.318,643.1323079877496,347.7146649728632,,0.8412424524574957,,,,,0.8126497306775733,0.7296317350158849,0.0037187960517618,,0.5323624687422904,0.9846564948159604,1
,1016.303,355.13717060533173,228.64441465430565,,,,,0.7166677925645702,,,0.8016196740607711,0.0055792683864913,,,0.9980958927889348,0
54413.0,922.901,,183.156466960646,,,54921.0,263.21243007820584,,0.9907503505034504,,0.6931866453999385,,,,,4
43741.0,,,213.92277344635795,,0.571514710567687,,235.99315864291648,,,,0.9052521735678388,,0.0024688755401902,,,5
84156.0,1125.18,435.70008509032346,,1.7604118791172887,,,327.33888728156387,0.7988229710488847,0.9862647665479092,,,0.0051772908062446,0.0010174712598112,,,2
,1028.773,,,1.538669682416347,0.7600094077513773,65223.0,,,,,0.8051727926875933,,,,0.997524518988682,0
,,,,1.4705029826863882,0.7331755472202633,,,,0.9814176277750412,,,0.0056981436575604,,0.6786929051064499,,0
,1607.624,588.7555844447555,402.5758804741509,,,,485.4706300989356,0.7966396391743704,,,,,0.0009070070968414,,0.9943588225249668,1
,1268.518,,263.34171832800894,,,,359.00549599603846,,,0.7905123724354497,,0.0049751315501973,0.0007925052399925,,0.9718201171614232,2
50712.0,,,,,0.7628235299964321,,254.1033722574527,,,0.8282453458076628,0.8035830967697966,,,0.6457457934141362,0.9986685327863803,0
48947.0,,,,,,,,,0.9886485285503646,0.882584905088529,,,,,0.9955725418236197,6
,1021.149,341.5122061900434,215.64613342319828,,,58908.0,270.2061716796055,,,0.6910540894515448,0.7912050192702109,,0.0014396659000622,0.6260053825183747,,0
46955.0,,,166.76391163500867,,,,244.5096374849866,0.6577896698093384,0.9862631015144196,0.7741877720596441,,0.007686249509862,,,0.993330033956548,4
85601.0,1136.7240000000002,,268.7694157639238,1.517138216272983,,87003.0,,,,0.8324892674468901,,,0.001262594379333,,0.9944984579220576,0
49425.0,,,202.48794836195,,0.7613138982251124,49900.0,,0.7494086608442504,0.9904809619238476,0.9036894079309544,,,,0.6452415565031552,0.9951542070185077,6
,1053.073,426.8231958145971,,,,70718.0,,,0.9820979100087672,,0.6967057973734274,0.0061455853800408,,,,4
,,307.1304560783664,200.0564929475602,,0.7587576607898843,48634.0,,,,0.8962515029357763,,0.0063821967890274,,0.649556664229395,,6
,,278.0541442341059,159.95819232091102,,0.8179585652248533,,,0.6757920878523893,,0.8735217064989041,0.7573709769165969,0.0079829503670324,,0.5736107966756003,0.9971034110781666,3
