Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
,,339.7519042486327,260.2171528692769,1.305647612013152,0.6429556109299891,,296.8988382616287,,,0.8337367518738886,0.873869534059642,0.0049074402624311,,0.7636479625576158,,0
28679.0,,245.10668471542985,149.2065897278651,1.642733643081549,,28944.0,191.08960438354492,0.7777777777777778,,0.9014035460468828,0.779618085917979,,,0.6078043598904133,,3
81837.0,,433.83818558602906,241.5270263613646,1.7962303934340458,0.8306992358215823,,322.797311981515,0.7719961889309197,0.9913147757831238,0.8562259493277223,0.744050023041379,0.0053012474258101,,0.5536104367878766,,2
,,,202.221978753357,1.643524459973976,0.7935933575888032,53046.0,258.6967664088007,,,0.8832783614830599,0.7783706877231988,,0.0014317206837468,0.6058609275066856,0.9957472536997576,6
69452.0,1053.073,426.8231958145971,210.74984095725253,,0.8695960641310811,,,0.824307162779657,,0.7870053138922709,0.6967057973734274,,,0.4853989680937433,,4
37152.0,,246.69068502283287,,,,37406.0,217.4934379837717,,0.9932096455114152,0.9671107102947684,0.8816443067708098,,,0.7772966836613819,,5
35254.0,687.0450000000001,225.0636401017377,199.69203361784463,1.1270536737206418,0.4612519753261374,,211.8650204967621,,,,0.9413560555627316,0.0063840596840567,0.0030923766406366,,0.9987399917426004,5
74880.0,1059.737,367.6958053264532,259.6779414603901,1.4159685773022794,0.7079821160988897,,308.77204716387297,,0.9853798476135333,0.837875524675811,,,0.0015062595357348,0.7051777542066753,,0
41943.0,,276.5469405348518,,1.4306634109952634,0.7151447082740673,,231.0919432278567,,0.9901090600066096,0.912365865632977,0.8356337003075012,,0.0019831379063442,0.6982836810896066,0.9990089130299852,6
,,355.09412941881226,185.85387977417253,1.9106091831404337,0.8520912382924504,52413.0,256.0724698076808,0.6308304752572268,,0.789473997039327,0.7211396883040515,0.0068948977576903,0.001150231308595,0.5200424500472647,,4
32218.0,,222.75607138109643,184.4046839490122,,,32566.0,202.5369883558988,0.7544315653904695,0.9893140084750968,0.9477439021557724,0.9092321798465984,0.006914025432401,,0.826703156868597,,5
71997.0,1035.853,398.0589466342144,,1.7045081520034655,0.8098192129395274,73870.0,,0.6908175014392631,,0.8431949719357467,0.7606149724945844,,0.0011414903179995,,0.9861178561851538,2
,,237.0339180811993,159.30314687096225,,0.7404885328558817,29797.0,193.72334805352943,,0.9891935429741248,,,0.0080418632088617,0.002213208491755,0.6679484429425865,,3
33107.0,671.8689999999999,244.72831699352903,,1.415120756709641,0.7075597971504396,,205.31230262102423,0.7986828138569912,0.9880916850713304,0.921638241010799,0.8389397072773274,,0.0022587447605454,,0.9959900538790398,3
42050.0,776.1800000000001,265.7364380858424,201.8053665101487,,0.650601569873493,42638.0,,,0.9862094844973966,,0.87073690119262,0.0063195347939558,0.0022408494089924,,0.9983717835616384,5
37891.0,718.675,264.23262305028544,,1.4430788454292738,0.7209733121654189,,219.645895908756,,0.9893211488250652,0.9218937184874576,0.8312595673205563,0.0069734929943861,,0.6909924682619585,0.9971566132997912,3
27597.0,638.0419999999999,241.45356232335945,146.92706915229235,,0.7935456909619211,,187.45023797279185,0.8203626634958383,0.9828341465151892,0.8518697608552102,0.7763407429945255,0.0087492684829278,0.0019604737061797,0.602704949233292,,3
,,277.7135196707936,,,,44833.0,237.80975770245783,0.7465543902111066,,0.9419358495058392,,0.0062524150588917,0.0020737583816151,0.7332723272663486,0.99909290445937,5
,758.9200000000001,,,,,41704.0,229.3553831736531,0.7919302281004409,0.9906723575676194,0.9014167525289134,,,0.001739698529487,0.6366909868239404,,6
,725.817,245.3724593977744,203.2058017931488,,0.5605029263900956,39532.0,,0.7907747660339983,,,,0.0062719814783951,0.0026481562173725,0.8273314532789307,0.9990086485563646,5
