0,1,2,3,class
6.4,3.015,5.5,1.8,2
4.8,3.4,4.010256410256409,0.2,0
6.5,3.0,4.010256410256409,1.8,2
6.1,3.015,4.9,1.8,2
5.1,2.5,3.0,1.4114285714285717,1
6.019512195121951,3.2,5.1,2.0,2
7.4,2.8,4.010256410256409,1.9,2
5.0,3.4,4.010256410256409,0.4,0
5.8,2.7,5.1,1.9,2
6.7,3.1,4.4,1.4114285714285717,1
6.0,3.0,4.8,1.8,2
7.0,3.015,4.7,1.4,1
6.019512195121951,3.2,5.7,2.3,2
5.0,3.3,1.4,1.4114285714285717,0
6.019512195121951,2.2,4.5,1.5,1
6.1,2.8,4.7,1.4114285714285717,1
6.7,3.1,4.010256410256409,2.4,2
6.3,2.5,5.0,1.9,2
7.1,3.015,5.9,2.1,2
6.3,2.8,5.1,1.5,2
4.8,3.4,1.6,1.4114285714285717,0
7.2,3.0,5.8,1.6,2
6.7,3.3,4.010256410256409,2.5,2
6.3,3.015,4.9,1.8,2
6.4,2.7,5.3,1.4114285714285717,2
5.5,2.5,4.010256410256409,1.3,1
6.0,2.7,5.1,1.6,1
5.0,3.6,1.4,0.2,0
5.7,3.8,1.7,1.4114285714285717,0
6.0,3.015,4.5,1.6,1
6.0,3.015,5.0,1.5,2
5.9,3.0,4.2,1.4114285714285717,1
6.019512195121951,3.7,1.5,0.4,0
6.6,2.9,4.6,1.4114285714285717,1
6.6,3.0,4.4,1.4114285714285717,1
5.0,3.0,1.6,1.4114285714285717,0
6.5,2.8,4.6,1.5,1
5.2,3.5,4.010256410256409,0.2,0
6.019512195121951,3.0,5.1,1.8,2
6.019512195121951,2.8,5.6,2.1,2
6.3,3.3,4.010256410256409,1.6,1
5.5,2.4,3.8,1.1,1
6.0,2.2,4.0,1.0,1
