0,1,2,3,class
,2.5,4.5,,2
4.3,3.0,1.1,0.1,0
,3.3,4.7,1.6,1
6.6,2.9,,,1
,3.2,,,0
6.7,,4.4,1.4,1
5.5,2.3,4.0,1.3,1
6.8,2.8,4.8,1.4,1
,3.3,5.7,2.1,2
4.6,3.1,,,0
,2.8,5.6,,2
6.9,,5.1,2.3,2
6.0,2.2,4.0,1.0,1
,,,,2
7.7,2.8,,2.0,2
4.9,,1.4,0.1,0
5.7,2.9,4.2,,1
,,6.7,,2
,3.0,4.2,1.2,1
6.1,,,1.4,1
,,5.1,1.8,2
,3.6,,,2
5.1,3.4,1.5,0.2,0
6.7,2.5,,1.8,2
,2.8,,1.9,2
5.0,3.2,1.2,0.2,0
6.7,3.3,5.7,,2
,,4.7,1.5,1
4.8,,,,0
,2.5,5.0,,2
6.9,3.2,5.7,,2
,,3.3,1.0,1
,3.1,5.6,2.4,2
5.1,,1.7,,0
6.1,3.0,4.9,,2
,3.1,,,0
5.1,3.8,1.9,0.4,0
5.0,3.5,1.6,0.6,0
5.2,2.7,3.9,1.4,1
6.2,2.2,4.5,,1
,,,1.5,1
7.1,,,2.1,2
6.0,3.0,,,2
,3.5,1.3,0.2,0
5.1,,1.6,0.2,0
,2.5,3.0,,1
,,4.4,1.3,1
5.6,3.0,,,1
6.3,,5.1,1.5,2
5.0,,1.4,,0
5.8,,,1.0,1
5.6,2.8,4.9,2.0,2
5.3,3.7,1.5,0.2,0
5.6,,,1.5,1
,3.0,6.6,2.1,2
5.5,,,1.1,1
,2.7,5.1,1.9,2
6.4,3.1,,1.8,2
5.7,,1.7,,0
6.6,3.0,4.4,1.4,1
9.434026744982065,3.9,1.3,2.5448789420985207,0
6.5,3.0,5.5,1.8,2
7.967666496291632,2.6,6.9,2.3,2
6.8,3.0,-2.25370516289321,-1.9250124177488348,2
3.191522708329189,3.7,10.295266788123572,3.290019908428463,0
5.4,4.57019675964462,4.5,1.5,1
6.5,3.2,5.1,2.0,2
6.4,3.2,5.3,2.3,2
8.184325229144958,3.1,1.5,0.1,0
6.3,3.3,-1.2295984090460195,0.04026777893069289,2
1.777000154596195,3.0,4.6,-0.6856064482354267,1
5.8,4.589052532074198,4.0,1.2,1
5.0,3.4,1.6,0.4,0
7.715456794755006,1.6572256544868709,8.942336600587193,4.076813273676092,2
5.6,2.9,-1.5605278868786014,1.3,1
7.0,0.7886900578140532,4.7,1.4,1
4.5,2.3,1.3,-1.5159468651060513,0
4.280556451894874,1.5100218323650871,1.4,-2.2442303575218814,0
3.6204779001392247,2.3,3.3,1.0,1
5.7,4.158742437676303,10.052694501431645,1.3,1
2.82806233194083,5.093236770839685,4.5,1.5,1
9.077790294628981,2.8,-2.420699156133807,4.631577932296365,1
5.7,2.6,3.5,1.0,1
4.8,3.4,8.762593219860992,0.2,0
4.031860464614008,4.0,11.409057011001622,0.2,0
7.2,3.0,5.8,1.6,2
4.9,3.0,1.4,3.2341892922309556,0
3.8034797856540186,1.21562645970934,4.9,1.8,2
4.8,4.414730250509751,-3.175522473831099,4.5866038175184,0
8.832851023384137,2.5,4.0,3.0816425162885293,1
6.0,2.7,5.1,-1.7198811839071733,1
3.761950778053154,1.3486485525823626,1.4,0.2,0
3.989971310166475,2.4,3.7,1.0,1
4.4,1.3051811051965245,1.3,-0.28385510745802445,0
5.0,2.0,3.5,-1.0139491490164918,1
4.3069462620104355,3.4,7.365970750933874,5.50446489232667,1
4.8,3.0,1.4,0.1,0
6.0,2.2,5.0,1.5,2
6.5,3.0,5.8,2.2,2
5.4,3.4,1.7,-2.149260517408956,0
3.4855754768137635,4.75434225672492,12.460644347612375,2.3,2
5.5,0.5761666984968894,7.481853063642855,1.2,1
5.9,3.0,9.6856203817807,4.262949777300474,1
4.134238288506616,3.7,1.5,0.4,0
5.6,4.284809558842497,4.2,1.3,1
9.501999147622783,2.8,4.8,-0.7218637504235939,2
2.6954398240162334,4.002752422159327,5.1,2.4,2
5.0,3.0,10.875499623568167,3.3495451733009336,0
6.4,4.501082005913903,5.6,2.2,2
4.8,1.7691262568703818,1.6,3.3814240414243595,0
6.5,4.112418540509074,-2.503076623575667,1.5,1
5.2,3.5,1.5,0.2,0
6.5,3.0,5.2,2.0,2
6.2,4.311860921150399,12.409772337931116,1.3,1
2.873480272728492,3.1,5.4,2.1,2
4.6,1.3070477108385319,7.0816818068249585,0.2,0
8.12994937406004,3.8,1.5,0.3,0
6.8,3.2,-5.771334146290524,2.3,2
4.7,4.497076989925951,1.3,3.5112163133381835,0
6.7,3.0,5.0,1.7,1
