0,1,2,3,class
5.776948261589656,2.5,4.5,1.7,2
4.3,3.0,1.1,0.1,0
6.3,3.3,4.7,1.6,1
6.6,2.9,3.723703330025732,1.3,1
6.7,3.1,4.4,1.4,1
5.5,2.3,4.0,1.3,1
6.8,2.8,4.8,1.4,1
5.776948261589656,3.3,5.7,2.1,2
4.6,3.1,1.5,1.1969304845689572,0
6.4,2.8,5.6,2.1,2
6.9,3.0023476461309686,5.1,2.3,2
6.0,2.2,4.0,1.0,1
7.7,2.8,3.723703330025732,2.0,2
4.9,3.6,1.4,0.1,0
5.7,2.9,4.2,1.3,1
5.776948261589656,3.8,6.7,2.2,2
5.776948261589656,3.0,4.2,1.2,1
6.1,2.9,4.7,1.4,1
5.776948261589656,3.0,5.1,1.8,2
5.1,3.4,1.5,0.2,0
6.7,2.5,5.8,1.8,2
7.4,2.8,3.723703330025732,1.9,2
5.0,3.2,1.2,0.2,0
6.7,3.3,5.7,1.1969304845689572,2
6.7,3.1,4.7,1.5,1
4.8,3.4,1.9,0.2,0
6.3,2.5,5.0,1.1969304845689572,2
6.9,3.2,5.7,2.3,2
5.776948261589656,2.4,3.3,1.0,1
6.7,3.1,5.6,2.4,2
6.1,3.0,4.9,1.8,2
4.9,3.1,1.5,0.2,0
5.1,3.8,1.9,0.4,0
5.0,3.5,1.6,0.6,0
5.2,2.7,3.9,1.4,1
6.2,2.2,4.5,1.5,1
7.1,3.0,3.723703330025732,2.1,2
6.0,3.0,3.723703330025732,1.8,2
5.776948261589656,3.5,1.3,0.2,0
5.1,3.8,1.6,0.2,0
5.776948261589656,2.5,3.0,1.1,1
6.3,2.3,4.4,1.3,1
5.6,3.0,4.1,1.1969304845689572,1
6.3,3.0023476461309686,5.1,1.5,2
5.8,2.7,3.723703330025732,1.0,1
5.6,2.8,4.9,2.0,2
5.3,3.7,1.5,0.2,0
5.6,3.0,4.5,1.5,1
7.6,3.0,6.6,2.1,2
5.5,3.0023476461309686,3.8,1.1,1
5.776948261589656,2.7,5.1,1.9,2
6.4,3.1,5.5,1.8,2
5.7,3.0023476461309686,1.7,0.3,0
6.6,3.0,4.4,1.4,1
6.5,3.0,5.5,1.8,2
6.8,3.0,0.0758243760336219,2.1,2
5.4,3.0,4.5,1.5,1
6.5,3.2,5.1,2.0,2
6.4,3.2,5.3,2.3,2
4.121575501887806,3.1,1.5,0.1,0
6.3,3.3,6.0,0.0641830716980476,2
6.1,3.0,4.6,1.4,1
5.8,4.697617806033564,4.0,1.2,1
5.0,3.4,1.6,0.4,0
7.0,3.2,4.7,1.4,1
4.5,2.3,1.3,0.3,0
5.7,2.8,4.1,1.3,1
3.500171819424894,3.2,4.5,1.5,1
5.7,2.6,3.5,1.0,1
4.8,3.4,1.6,0.2,0
5.8,4.0,-0.4897576041109741,0.2,0
7.2,3.0,5.8,1.6,2
4.9,3.0,1.4,-0.9821824492933262,0
6.3,2.7,4.9,1.8,2
4.8,3.0,1.4,0.3,0
5.5,2.5,4.0,-0.2520780706176233,1
6.0,2.7,5.1,1.6,1
3.318286747114245,3.6,1.4,0.2,0
5.5,2.4,3.7,1.0,1
5.0,2.0,3.5,1.0,1
6.0,3.4,4.5,1.6,1
4.8,3.0,1.4,0.1,0
6.0,2.2,5.0,1.5,2
6.5,3.0,5.8,2.2,2
5.4,3.4,1.7,0.2,0
5.5,2.6,-0.2528788661683183,1.2,1
5.9,3.0,-1.508638269333679,1.5,1
3.582681274037186,3.7,1.5,0.4,0
5.6,2.7,4.2,1.3,1
4.324916494893651,2.8,4.8,1.8,2
5.8,2.8,5.1,2.4,2
5.0,3.0,1.6,2.902810584718765,0
6.4,4.19258678218125,5.6,2.2,2
6.5,2.8,0.4375101846004865,1.5,1
5.2,3.5,1.5,0.2,0
6.5,3.0,5.2,2.0,2
6.2,2.9,4.3,1.3,1
6.9,3.1,5.4,2.1,2
3.611981074765309,3.8,1.5,0.3,0
6.8,3.2,5.9,2.3,2
4.7,4.43793081727497,1.3,0.2,0
6.7,3.0,5.0,1.7,1
