Unnamed: 0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,class
4,18,4,16,4,5,3,4,3,-5,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
1,18,2,19,5,4,4,4,3,23,3,2,1,1,1,0,0,1,0,1,0,0,1,0,0
4,9,2,38,5,5,3,4,1,64,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0
4,24,2,63,5,5,3,4,3,41,3,1,2,2,1,0,1,1,0,0,1,0,1,0,0
4,12,0,28,0,5,3,4,2,16,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
2,45,4,47,1,2,3,2,2,8,3,2,1,2,1,0,0,1,0,0,0,0,1,0,1
2,21,2,12,1,5,2,4,2,-9,3,1,2,1,1,0,0,1,0,0,1,0,0,1,1
4,6,0,4,1,5,4,4,3,39,3,4,1,1,1,0,0,1,0,0,1,0,1,0,0
2,20,0,61,2,5,4,4,3,31,1,2,1,2,1,0,1,1,0,0,1,0,0,1,0
4,36,4,35,1,4,3,4,3,37,0,2,1,2,0,1,0,0,0,0,1,0,0,1,0
2,6,2,6,1,2,4,3,1,26,3,1,2,1,2,0,0,1,0,0,1,0,0,0,0
1,15,4,15,1,5,3,4,3,44,3,2,2,0,1,0,0,1,0,0,1,0,0,1,0
2,45,2,30,2,6,3,4,2,21,3,1,1,1,1,0,0,0,0,1,0,0,0,1,1
4,12,3,15,1,3,4,4,1,41,3,1,1,1,1,0,1,1,0,1,0,0,0,1,0
4,24,4,41,2,3,3,3,-1,27,3,4,1,2,1,0,0,1,0,0,1,0,1,0,0
4,48,-1,48,1,1,3,2,3,33,1,1,1,2,1,0,0,1,0,1,0,0,0,0,1
1,18,2,26,1,3,3,0,4,65,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1
3,6,3,7,1,2,2,1,2,29,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
4,24,2,15,8,5,4,4,1,83,3,1,1,1,1,1,0,1,0,1,0,0,1,0,0
1,48,2,70,1,4,4,1,1,34,3,2,1,2,1,0,0,0,0,0,1,0,0,1,1
1,12,2,13,5,5,1,4,2,49,3,1,1,2,1,0,0,1,0,0,1,0,1,0,0
1,12,4,15,5,5,3,4,4,66,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0
2,36,0,20,5,5,3,4,4,61,3,1,2,2,2,0,0,1,0,0,0,0,0,0,1
2,15,4,23,3,3,3,4,3,27,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0
6,12,2,26,1,1,2,4,4,55,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,36,3,69,1,3,3,3,2,29,2,1,1,2,1,0,0,1,0,0,1,0,0,1,1
4,24,5,58,4,3,3,5,1,27,3,2,1,1,1,0,1,1,0,0,1,0,0,1,0
4,12,1,4,4,3,2,3,1,97,3,2,2,1,1,0,0,1,0,1,0,0,0,1,0
4,36,2,34,1,5,3,2,3,42,3,1,2,1,1,0,0,1,0,0,1,0,0,1,1
1,-5,2,20,1,3,3,4,1,21,3,1,2,1,1,0,0,1,0,1,0,0,1,0,1
1,24,3,17,1,2,2,2,3,29,3,1,1,2,0,0,0,1,0,1,0,0,1,0,1
2,15,2,15,2,3,3,2,1,22,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0
4,9,4,9,3,5,3,2,3,52,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
4,12,2,31,-1,3,3,4,3,52,0,1,1,2,1,0,0,1,0,0,1,1,0,1,0
2,48,1,36,2,0,3,2,3,30,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
6,10,2,13,5,5,3,2,2,45,3,1,1,1,2,1,0,1,1,0,1,0,1,0,0
2,48,2,54,5,-1,3,4,4,40,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0
2,6,1,9,2,2,2,1,2,32,2,1,1,1,1,1,0,1,0,0,1,0,1,0,1
1,10,2,23,1,5,3,4,1,52,3,1,1,1,1,0,0,1,0,1,1,0,1,0,0
6,-5,4,20,5,4,2,2,3,61,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,18,2,16,2,-1,2,4,2,24,3,1,1,1,1,0,0,1,0,1,1,0,1,0,0
2,10,2,73,1,1,3,4,5,70,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0
2,18,2,26,2,3,3,4,3,34,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
2,12,-1,13,1,2,2,1,3,25,3,4,1,0,1,1,0,0,0,1,0,0,0,1,1
1,24,1,14,5,5,3,3,3,40,2,1,1,2,1,0,0,1,1,0,1,0,0,0,1
4,9,2,28,2,5,3,4,3,35,3,1,1,2,1,0,0,0,1,0,0,0,0,1,0
2,24,1,18,1,4,2,4,4,34,1,1,2,1,1,0,0,1,0,0,0,0,1,0,1
3,15,2,27,1,0,3,4,2,26,3,1,1,2,1,0,0,1,0,1,0,0,0,1,0
0,30,2,48,5,4,2,4,2,24,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0
1,71,2,7,1,5,2,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
4,36,3,80,5,2,3,4,3,27,0,2,1,2,1,0,0,1,0,1,0,0,0,1,1
4,12,2,11,6,3,0,2,1,27,3,2,1,2,1,1,0,1,0,0,1,0,0,1,0
2,18,2,12,5,3,3,4,4,61,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0
3,30,4,30,1,5,3,4,2,47,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0
2,24,2,28,5,5,3,4,0,36,1,1,1,2,1,0,1,1,0,0,0,0,0,1,0
4,15,2,22,3,3,2,4,6,20,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
1,42,2,40,1,2,3,3,3,34,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
3,12,4,9,0,4,4,2,1,28,3,3,1,2,1,1,0,1,0,0,1,0,0,1,1
2,21,3,24,1,3,1,4,2,47,3,2,1,1,1,1,0,1,0,0,1,0,0,1,0
1,21,4,6,1,5,3,4,1,99,3,2,1,1,1,1,0,1,0,0,1,0,0,1,0
3,4,2,15,5,2,3,2,1,29,3,1,2,2,2,1,0,1,0,0,1,0,1,0,0
2,39,4,49,1,4,3,2,1,25,3,2,1,0,1,0,0,0,0,0,1,0,0,1,1
4,9,2,20,1,2,2,2,3,19,3,2,1,1,1,0,0,0,1,1,0,0,0,1,1
4,10,2,14,2,3,5,2,1,35,3,1,1,1,2,1,0,1,0,1,0,0,1,0,0
2,20,3,26,1,3,3,3,4,29,1,2,1,2,1,0,0,1,0,1,1,0,0,1,0
2,12,2,6,1,2,4,1,0,26,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
2,9,2,20,5,4,3,1,3,24,3,1,1,2,1,0,1,1,0,0,1,0,0,1,0
2,26,2,80,1,2,3,3,3,30,3,2,1,1,1,0,1,1,0,0,1,0,0,1,0
1,15,2,17,1,2,3,3,1,36,3,1,1,1,1,1,0,1,0,0,1,0,0,1,0
6,5,2,34,1,4,3,4,1,11,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0
